time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
4.5,0.699999988,357.0,24.22217369,0.095421284,-79.78139759999999,40.45804752,269.3467068,0.0017965289999999,0.005626725,-0.255489618,0.966793776,-0.006183738,-0.004249996,0.019805671,-0.001556018,0.00201417,-0.00594882,0.004853736,-0.119296319,-9.810817441
4.7,0.699999988,353.0,24.22718048,0.095421284,-79.78139763,40.45804751,269.3501081,0.001796922,0.005628604,-0.25549075,0.966793478,-0.00577345,-0.003111717,0.020034689,-0.001070014,0.002330239,-0.003611519,0.004880989,-0.127501717,-9.812109675
4.8,0.699999988,349.0,24.22592926,0.095421284,-79.78139764,40.45804751,269.35214039999994,0.001796922,0.005628604,-0.25549075,0.966793478,-0.005969888,-0.002789093,0.020489681,6.55e-05,0.001544645,0.002478319,0.006739709,-0.114491543,-9.812476881
5.0,0.699999988,346.0,24.21591187,0.087469511,-79.78139766999999,40.4580475,269.35624260000003,0.001797277,0.0056321969999999,-0.255490452,0.966793537,-0.005338818,-0.001831001,0.020412335,-0.003087811,0.000114932,-0.00419973,0.007968229,-0.117359758,-9.812004426
5.1,0.699999988,343.0,24.22342491,0.087469511,-79.78139766999999,40.4580475,269.3582925,0.001797277,0.0056321969999999,-0.255490452,0.966793537,-0.005506964,-0.001628973,0.020539548,0.003188173,0.00233616,0.006682334,0.00318249,-0.126793235,-9.809522867
5.3,0.699999988,341.0,24.2121563,0.095421284,-79.78139771,40.45804748,269.3633289,0.001799646,0.005630963,-0.255487651,0.966794252,-0.008057714,-0.00291852,0.020658507,-0.002005265,0.00077357,0.003011907,0.003811579,-0.122909085,-9.810142672
5.4,0.699999988,339.0,24.22467804,0.095421284,-79.78139772,40.45804749,269.3654079,0.001799646,0.005630963,-0.255487651,0.966794252,-0.009582269,-0.00320187,0.020667229,-6.74e-06,-0.0005606,-0.00278499,0.00472332,-0.124143624,-9.811713234
5.61,0.800000012,342.0,24.21340942,0.055662416,-79.78139775,40.45804747,269.37149710000006,0.001801462,0.005632699,-0.25548473,0.966795027,-0.011036449,-0.003966789,0.020574276,0.000636099,0.001672235,-0.00713125,0.004501975,-0.128087553,-9.811142546
5.7,0.800000012,344.0,24.22718048,0.087469511,-79.78139775999999,40.45804748,269.3765702,0.001799465,0.005633251,-0.255488247,0.966794133,-0.012084409,-0.001530939,0.020772315,0.002905461,0.000720185,0.004106378,0.0065821469999999,-0.115520644,-9.811969342
5.9,0.8999999759999999,345.0,24.21966934,0.103373058,-79.78139779,40.45804748,269.3807668,0.001799465,0.005633251,-0.255488247,0.966794133,-0.013772136,-0.001418755,0.021091174,0.000614547,-0.000177683,0.000363351,0.007719003,-0.116409503,-9.813130599
